"x","y"
1.08e-10,1.44629e-10
1.085e-10,1.45299e-10
1.09e-10,1.45969e-10
1.095e-10,1.46639e-10
1.1e-10,1.47309e-10
1.105e-10,1.47979e-10
1.11e-10,1.48649e-10
1.115e-10,1.49319e-10
1.12e-10,1.49989e-10
1.125e-10,1.50659e-10
1.13e-10,1.51329e-10
1.135e-10,1.51999e-10
1.14e-10,1.52669e-10
1.145e-10,1.53339e-10
1.15e-10,1.54009e-10
1.155e-10,1.54679e-10
1.16e-10,1.55349e-10
1.165e-10,1.56019e-10
1.17e-10,1.56689e-10
1.175e-10,1.57359e-10
1.18e-10,1.58029e-10
1.185e-10,1.58699e-10
1.19e-10,1.59369e-10
1.195e-10,1.60039e-10
1.2e-10,1.60709e-10
1.205e-10,1.61379e-10
1.21e-10,1.62049e-10
1.215e-10,1.62719e-10
1.22e-10,1.63389e-10
1.225e-10,1.64059e-10
1.23e-10,1.64729e-10
1.235e-10,1.65399e-10
1.24e-10,1.66069e-10
1.245e-10,1.66739e-10
1.25e-10,1.67409e-10
1.255e-10,1.68079e-10
1.26e-10,1.6875e-10
1.265e-10,1.6942e-10
1.27e-10,1.7009e-10
1.275e-10,1.7076e-10
1.28e-10,1.7143e-10
1.285e-10,1.721e-10
1.29e-10,1.7277e-10
1.295e-10,1.7344e-10
1.3e-10,1.7411e-10
1.305e-10,1.7478e-10
1.31e-10,1.7545e-10
1.315e-10,1.7612e-10
1.32e-10,1.7679e-10
1.325e-10,1.7746e-10
1.33e-10,1.7813e-10
1.335e-10,1.788e-10
1.34e-10,1.7947e-10
1.345e-10,1.8014e-10
1.35e-10,1.8081e-10
1.355e-10,1.8148e-10
1.36e-10,1.8215e-10
1.365e-10,1.8282e-10
1.37e-10,1.8349e-10
1.375e-10,1.8416e-10
1.38e-10,1.84831e-10
1.385e-10,1.85501e-10
1.39e-10,1.86171e-10
1.395e-10,1.86841e-10
1.4e-10,1.34811e-06
1.405e-10,1.30461e-06
1.41e-10,5.5026e-07
1.415e-10,3.3479e-07
1.42e-10,2.09106e-07
1.425e-10,1.37293e-07
1.43e-10,9.3692e-08
1.435e-10,6.63451e-08
1.44e-10,4.86605e-08
1.445e-10,3.68553e-08
1.45e-10,2.87165e-08
1.455e-10,2.2925e-08
1.46e-10,1.86795e-08
1.465e-10,1.54828e-08
1.47e-10,1.3019e-08
1.475e-10,1.10818e-08
1.48e-10,9.53295e-09
1.485e-10,8.27678e-09
1.49e-10,7.24556e-09
1.495e-10,6.39005e-09
1.5e-10,5.67365e-09
1.505e-10,5.06864e-09
1.51e-10,4.55374e-09
1.515e-10,4.11231e-09
1.52e-10,3.73129e-09
1.525e-10,3.40028e-09
1.53e-10,3.11094e-09
1.535e-10,2.85656e-09
1.54e-10,2.63169e-09
1.545e-10,2.43187e-09
1.55e-10,2.25346e-09
1.555e-10,2.09346e-09
1.56e-10,1.94936e-09
1.565e-10,1.8191e-09
1.57e-10,1.70093e-09
1.575e-10,1.5934e-09
1.58e-10,1.49525e-09
1.585e-10,1.40545e-09
1.59e-10,1.32308e-09
1.595e-10,1.24737e-09
1.6e-10,1.17765e-09
1.605e-10,1.11335e-09
1.61e-10,1.05394e-09
1.615e-10,9.98985e-10
1.62e-10,9.4809e-10
1.625e-10,9.00904e-10
1.63e-10,8.57116e-10
1.635e-10,8.16448e-10
1.64e-10,7.78648e-10
1.645e-10,7.43493e-10
1.65e-10,7.10779e-10
1.655e-10,6.80321e-10
1.66e-10,6.5195e-10
1.665e-10,6.25514e-10
1.67e-10,6.00873e-10
1.675e-10,5.77898e-10
1.68e-10,5.56472e-10
1.685e-10,5.36485e-10
1.69e-10,5.17839e-10
1.695e-10,5.0044e-10
1.7e-10,4.84204e-10
1.705e-10,4.69052e-10
1.71e-10,4.54911e-10
1.715e-10,4.41713e-10
1.72e-10,4.29396e-10
1.725e-10,4.17901e-10
1.73e-10,4.07174e-10
1.735e-10,3.97164e-10
1.74e-10,3.87826e-10
1.745e-10,3.79114e-10
1.75e-10,3.70988e-10
1.755e-10,3.63411e-10
1.76e-10,3.56347e-10
1.765e-10,3.49763e-10
1.77e-10,3.43628e-10
1.775e-10,3.37914e-10
1.78e-10,3.32594e-10
1.785e-10,3.27642e-10
1.79e-10,3.23036e-10
1.795e-10,3.18753e-10
1.8e-10,3.14773e-10
1.805e-10,3.11077e-10
1.81e-10,3.07647e-10
1.815e-10,3.04466e-10
1.82e-10,3.01519e-10
1.825e-10,2.98791e-10
1.83e-10,2.96269e-10
1.835e-10,2.93939e-10
1.84e-10,2.9179e-10
1.845e-10,2.8981e-10
1.85e-10,2.87989e-10
1.855e-10,2.86317e-10
1.86e-10,2.84786e-10
1.865e-10,2.83385e-10
1.87e-10,2.82108e-10
1.875e-10,2.80946e-10
1.88e-10,2.79893e-10
1.885e-10,2.78941e-10
1.89e-10,2.78086e-10
1.895e-10,2.7732e-10
1.9e-10,2.76639e-10
1.905e-10,2.76037e-10
1.91e-10,2.75509e-10
1.915e-10,2.75052e-10
1.92e-10,2.7466e-10
1.925e-10,2.7433e-10
1.93e-10,2.74057e-10
1.935e-10,2.7384e-10
1.94e-10,2.73674e-10
1.945e-10,2.73556e-10
1.95e-10,2.73483e-10
1.955e-10,2.73453e-10
1.96e-10,2.73463e-10
1.965e-10,2.73511e-10
1.97e-10,2.73594e-10
1.975e-10,2.73711e-10
1.98e-10,2.73859e-10
1.985e-10,2.74037e-10
1.99e-10,2.74242e-10
1.995e-10,2.74474e-10
2e-10,2.7473e-10

